Barcode	Pre-OCV	Pre-CCV	Post-OCV	Post-CCV	Outlier
471455	1.622		1.622	1.521	OK
471456	1.622		1.622	1.526	OK
471457	1.621		1.621	1.517	OK
471458	1.622		1.622	1.529	OK
471459	1.621		1.621	1.500 *	OL
471460	1.622		1.621	1.526	OK
471461	1.629		1.629	1.535	OK
471462	1.627		1.627	1.519	OK
471463	1.628		1.628	1.533	OK
471464	1.628		1.628	1.530	OK
471465	1.632		1.632	1.536	OK
471466	1.622		1.622	1.527	OK
471467	1.626		1.626	1.515	OK
471468	1.628		1.628	1.522	OK
471469	1.628		1.628	1.519	OK
471470	1.628		1.628	1.514	OK
471471	1.626		1.626	1.521	OK
471472	1.628		1.628	1.504	OK
