Barcode	Pre-OCV	Pre-CCV	Post-OCV	Post-CCV	Outlier
468783	1.636 *		1.632 ^	1.550 *	OL T OH
468784	1.640		1.640	1.500 *	OL
468785	1.641		1.640	1.529	OK
468786	1.641		1.640	1.518	OK
468787	1.635 *		1.634 *	1.522	OL OL
468788	1.641		1.640	1.529	OK
468789	1.640		1.640	1.513	OK
468790	1.641		1.640	1.529	OK
468791	1.641		1.640	1.528	OK
468792	1.631 *		1.630 *	1.519	OL OL
468793	1.641		1.640	1.533	OK
468794	1.639		1.638	1.524	OK
468795	1.641		1.640	1.524	OK
468796	1.641		1.640	1.510	OK
468797	1.640		1.639	1.528	OK
468798	1.641		1.639	1.532	OK
468799	1.641		1.640	1.526	OK
468800	1.641		1.639	1.520	OK
468801	1.641		1.640	1.516	OK
468802	1.637 *		1.636 *	1.528	OL OL
468803	1.641		1.641	1.519	OK
468804	1.638		1.638	1.531	OK
468805	1.640		1.639	1.525	OK
468806	1.641		1.641	1.526	OK
468807	1.639		1.640	1.528	OK
468808	1.640		1.641	1.529	OK
468809	1.640		1.641	1.517	OK
468810	1.639		1.639	1.515	OK
468811	1.641		1.641	1.512	OK
468812	1.638		1.639	1.529	OK
468813	1.637 *		1.637 *	1.528	OL OL
468814	1.637 *		1.638	1.514	OL
468815	1.640		1.640	1.528	OK
468816	1.640		1.641	1.530	OK
468817	1.640		1.640	1.521	OK
468818	1.640		1.641	1.531	OK
468819	1.640		1.641	1.531	OK
468820	1.640		1.640	1.533	OK
468821	1.640		1.640	1.526	OK
468822	1.640		1.639	1.524	OK
468823	1.640		1.640	1.523	OK
468824	1.640		1.639	1.533	OK
468825	1.640		1.640	1.514	OK
468826	1.641		1.641	1.527	OK
468827	1.641		1.641	1.519	OK
468828	1.641		1.641	1.515	OK
