Barcode	Outlier
460660.0	OK
460661.0	OK
460662.0	OK
460663.0	OK
460664.0	OK
460665.0	OK
460666.0	OK
460667.0	OK
460668.0	OK
460669.0	OK
460670.0	OK
460671.0	OK
460672.0	Outlier-Low
460673.0	OK
460674.0	OK
460675.0	Fail
460676.0	OK
460677.0	OK
460678.0	OK
460679.0	OK
460680.0	OK
460681.0	OK
460682.0	OK
460683.0	OK
460684.0	OK
460687.0	OK
460685.0	Outlier-Low
460686.0	Fail
460688.0	OK
460689.0	OK
460690.0	OK
460691.0	Outlier-Low
460692.0	OK
460693.0	OK
460694.0	OK
460695.0	OK
460696.0	OK
460697.0	OK
460698.0	OK
460699.0	OK
460700.0	OK
460701.0	Outlier-High
460702.0	OK
460703.0	OK
460704.0	OK
460705.0	OK
460706.0	OK
460707.0	OK
460708.0	OK
460709.0	OK
