Barcode	Pre-OCV	Pre-CCV	Post-OCV	Post-CCV	Outlier
471045	3.193	2.884			OK
471046	3.210	2.917			OK
471047	3.193	2.861			OK
471048	3.203	2.896			OK
471049	3.200	2.871			OK
471050	3.197	2.892			OK
471051	3.209	2.898			OK
471052	3.182	2.871			OK
471053	3.208	2.870			OK
471054	3.197	2.886			OK
471055	3.205	2.878			OK
471056	3.207	2.864			OK
471057	3.197	2.883			OK
471058	3.199	2.895			OK
471059	3.199	2.865			OK
471060	3.194	2.885			OK
471061	3.208	2.875			OK
471062	3.200	2.898			OK
471063	3.183	2.883			OK
471064	3.193	2.897			OK
471065	3.192	2.902			OK
471066	3.200	2.909			OK
471067	3.203	2.928			OK
471068	3.181	2.887			OK
471069	3.203	2.933			OK
471070	3.184	2.895			OK
471071	3.181	2.896			OK
471072	3.210	2.889			OK
471073	3.201	2.919			OK
471074	3.200	2.917			OK
471075	3.211	2.915			OK
471076	3.201	2.928			OK
471077	3.179	2.879			OK
471078	3.194	2.906			OK
471079	3.191	2.908			OK
471080	3.194	2.904			OK
471081	3.204	2.914			OK
471082	3.188	2.902			OK
