Barcode	Pre-OCV	Pre-CCV	Post-OCV	Post-CCV	Outlier
455150	1.793	1.789	1.816	1.813	OK
455151	1.792	1.788	1.811	1.808	OK
455152	1.811	1.807	1.793	1.79	OK
455153	1.816	1.811	1.794	1.791	OK
455154	1.808	1.804	1.807	1.805	OK
449449	1.527 !	1.494 !	1.527 !	1.503 !	Fail
449450	1.574 !	1.561 !	1.574 !	1.564 !	Fail
455489	1.659 !	1.679			Fail
455494	1.654 !	1.534 !			Fail
455495	1.632 !	1.516 !			Fail
455496	1.817	1.651			OK
455497	1.767	1.612			OK
455498	1.727	1.578 !			Fail
315412	1.703	1.553 !			Fail
8947645	1.66 !	1.524 !			Fail
321321	1.709	1.562 !			Fail
131314	1.662 !	1.529 !			Fail
45514	1.633 !	1.51 !			Fail
31313	1.76	1.609			OK
131213	1.726	1.578 !			Fail
113211	1.695 !	1.553 !			Fail
21321	1.696 !	1.553 !			Fail
2132113	1.669 !	1.532 !			Fail
31314	1.528 !	1.344 !			Fail
212131	1.526 !	1.407 !			Fail
111	1.525 !	1.403 !			Fail
112	1.519 !	1.402 !			Fail
113	1.516 !	1.402 !			Fail
114	1.513 !	1.401 !			Fail
115	1.507 !	1.398 !			Fail
116	1.504 !	1.396 !			Fail
117	1.5 !	1.394 !			Fail
118	1.5 !	1.394 !			Fail
119	1.499 !	1.393 !			Fail
