Barcode	Serial#	Pre-OCV	Pre-CCV	Post-OCV	Post-CCV	Date	Lot Number	Comments	Pre-screen pass	Post-screen pass
471259		3.257	3.192			6/18/2021	13031		Pass	
471260		3.252	3.2230000000000003			6/18/2021	13031		Pass	
471261		3.253	3.227			6/18/2021	13031		Pass	
471262		3.244	3.222			6/18/2021	13031		Pass	
471263		3.249	3.225			6/18/2021	13031		Pass	
471264		3.253	3.2110000000000003			6/18/2021	13031		Pass	
471265		3.249	3.212			6/18/2021	13031		Pass	
471266		3.252	3.225			6/18/2021	13031		Pass	
471267		3.25	3.225			6/18/2021	13031		Pass	
471268		3.247	3.219			6/18/2021	13031		Pass	
471269		3.25	3.227			6/18/2021	13031		Pass	
471270		3.2510000000000003	3.2260000000000004			6/18/2021	13031		Pass	
471271		3.242	3.215			6/18/2021	13031		Pass	
471272		3.248	3.219			6/18/2021	13031		Pass	
471273		3.249	3.225			6/18/2021	13031		Pass	
471274		3.254	3.2089999999999996			6/18/2021	13031		Pass	
471275		3.254	3.23			6/18/2021	13031		Pass	
471276		3.25	3.224			6/18/2021	13031		Pass	
471277		3.2510000000000003	3.227			6/18/2021	13031		Pass	
471278		3.244	3.218			6/18/2021	13031		Pass	
471279		3.248	3.2110000000000003			6/18/2021	13031		Pass	
471280		3.249	3.214			6/18/2021	13031		Pass	
471281		3.25	3.2260000000000004			6/18/2021	13031		Pass	
471282		3.245	3.2230000000000003			6/18/2021	13031		Pass	
471283		3.252	3.217			6/18/2021	13031		Pass	
471284		3.248	3.2230000000000003			6/18/2021	13031		Pass	
471285		3.2510000000000003	3.228			6/18/2021	13031		Pass	
471286		3.2460000000000004	3.2230000000000003			6/18/2021	13031		Pass	
471287		3.25	3.225			6/18/2021	13031		Pass	
471288		3.248	3.224			6/18/2021	13031		Pass	
471289		3.2510000000000003	3.226			6/21/2021	13031		Pass	
471290		3.2460000000000004	3.222			6/21/2021	13031		Pass	
471291		3.25	3.225			6/21/2021	13031		Pass	
471357		3.248	3.222			6/24/2021	13031		Pass	
