Barcode	Serial#	Pre-OCV	Pre-CCV	Post-OCV	Post-CCV	Date	Lot Number	Comments	Pre-screen pass	Post-screen pass
455150		1.793	1.789	1.8159999999999998	1.8130000000000002	2019-12-09	10588		Pass	Pass
455151		1.7919999999999998	1.788	1.811	1.808	2019-12-09	10588		Pass	Pass
455152		1.811	1.807	1.7930000000000001	1.79	2019-12-09	10588		Pass	Pass
455153		1.8159999999999998	1.811	1.794	1.791	2019-12-09	10588		Pass	Pass
455154		1.808	1.804	1.807	1.805	2019-12-09	10588		Pass	Pass
449449		1.527	1.494	1.527	1.503	2019-12-09	10588		Fail	Fail
449450		1.574	1.561	1.574	1.564	2019-12-09	10588		Fail	Fail
455489		1.659	1.679			2020-01-17	10588		Fail	
455494		1.6540000000000001	1.534			2020-01-17	10588		Fail	
455495		1.632	1.516			2020-01-17	10588		Fail	
455496		1.817	1.651			2020-01-17	10588		Pass	
455497		1.767	1.612			2020-01-17	10588		Pass	
455498		1.7269999999999999	1.578			2020-01-17	10588		Fail	
315412		1.703	1.5530000000000002			2020-01-17	10588		Fail	
8947645		1.66	1.524			2020-01-17	10588		Fail	
321321		1.709	1.5619999999999998			2020-02-28	10588		Fail	
131314		1.662	1.5290000000000001			2020-02-28	10588		Fail	
45514		1.633	1.51			2020-02-28	10588		Fail	
31313		1.76	1.609			2020-03-11	10588		Pass	
131213		1.726	1.578			2020-03-11	10588		Fail	
113211		1.695	1.5530000000000002			2020-03-11	10588		Fail	
21321		1.696	1.5530000000000002			2020-03-11	10588		Fail	
2132113		1.669	1.5319999999999998			2020-03-11	10588		Fail	
31314		1.528	1.344			2020-03-11	10588		Fail	
212131		1.526	1.4069999999999998			2020-03-11	10588		Fail	
111		1.525	1.403			2020-03-11	10588		Fail	
112		1.5190000000000001	1.402			2020-03-11	10588		Fail	
113		1.516	1.402			2020-03-11	10588		Fail	
114		1.5130000000000001	1.401			2020-03-11	10588		Fail	
115		1.507	1.398			2020-03-11	10588		Fail	
116		1.504	1.396			2020-03-11	10588		Fail	
117		1.5	1.394			2020-03-11	10588		Fail	
118		1.5	1.3940000000000001			2020-03-11	10588		Fail	
119		1.499	1.393			2020-03-11	10588		Fail	
