Barcode	Serial#	Pre-OCV	Pre-CCV	Post-OCV	Post-CCV	Date	Lot Number	Comments	Pre-screen pass	Post-screen pass
460243	1	3.27	3.1319999999999997			2020-01-10	9616		Pass	
460244	2	3.281	3.192			2020-01-10	9616		Pass	
460245	3	3.264	3.2			2020-01-10	9616		Pass	
460246	4	3.273	3.2110000000000003			2020-01-10	9616		Pass	
460247	5	3.2760000000000002	3.2030000000000003			2020-01-10	9616		Pass	
460248	6	3.272	3.207			2020-01-10	9616		Pass	
460249	7	3.2739999999999996	3.193			2020-01-10	9616		Pass	
460250	8	3.274	3.199			2020-01-10	9616		Pass	
460251	9	3.2769999999999997	3.199			2020-01-10	9616		Pass	
460252	10	3.275	3.1910000000000003			2020-01-10	9616		Pass	
460253	11	3.281	3.167			2020-01-10	9616		Pass	
460254	12	3.273	3.204			2020-01-10	9616		Pass	
460255	13	3.272	3.2030000000000003			2020-01-10	9616		Pass	
460256	14	3.278	3.194			2020-01-10	9616		Pass	
460257	15	3.275	3.137			2020-01-10	9616		Pass	
460258	16	3.272	3.2			2020-01-10	9616		Pass	
460259	17	3.255	3.0180000000000002			2020-01-10	9616		Pass	
460260	18	3.272	3.2			2020-01-10	9616		Pass	
460261	19	3.2739999999999996	3.208			2020-01-10	9616		Pass	
460262	20	3.27	3.207			2020-01-10	9616		Pass	
460263	21	3.2689999999999997	3.2039999999999997			2020-01-10	9616		Pass	
460264	22	3.275	3.201			2020-01-10	9616		Pass	
460265	23	3.2710000000000004	3.202			2020-01-10	9616		Pass	
460266	24	3.274	3.2			2020-01-10	9616		Pass	
460267	25	3.279	3.21			2020-01-10	9616		Pass	
460268	26	3.274	3.207			2020-01-10	9616		Pass	
460269	27	3.272	3.214			2020-01-10	9616		Pass	
460270	28	3.269	3.195			2020-01-10	9616		Pass	
460271	29	3.2739999999999996	3.202			2020-01-10	9616		Pass	
460272	30	3.273	3.2060000000000004			2020-01-10	9616		Pass	
460273	31	3.2760000000000002	3.1860000000000004			2020-01-10	9616		Pass	
460274	32	3.282	3.197			2020-01-10	9616		Pass	
460275	33	3.2689999999999997	3.199			2020-01-10	9616		Pass	
460276	34	3.274	3.21			2020-01-10	9616		Pass	
460277	35	3.275	3.201			2020-01-10	9616		Pass	
460278	36	3.275	3.1860000000000004			2020-01-10	9616		Pass	
460279	37	3.281	3.194			2020-01-10	9616		Pass	
460280	38	3.274	3.209			2020-01-10	9616		Pass	
460281	39	3.272	3.193			2020-01-10	9616		Pass	
460282	40	3.276	3.212			2020-01-10	9616		Pass	
460283	41	3.267	3.201			2020-01-10	9616		Pass	
460284	42	3.274	3.17			2020-01-10	9616		Pass	
460285	43	3.272	3.185			2020-01-10	9616		Pass	
460286	44	3.275	3.2			2020-01-10	9616		Pass	
460287	45	3.2760000000000002	3.197			2020-01-10	9616		Pass	
460288	46	3.281	3.172			2020-01-10	9616		Pass	
460289	47	3.279	3.2119999999999997			2020-01-10	9616		Pass	
460290	48	3.278	3.201			2020-01-10	9616		Pass	
460291	49	3.272	3.2089999999999996			2020-01-10	9616		Pass	
460292	50	3.27	3.196			2020-01-10	9616		Pass	
