Barcode	Serial#	Pre-OCV	Pre-CCV	Post-OCV	Post-CCV	Date	Lot Number	Comments	Pre-screen pass	Post-screen pass
468783		1.636		1.632	1.55	3/18/2021	12965		Pass	Pass
468784		1.64		1.64	1.5	3/18/2021	12965		Pass	Pass
468785		1.641		1.64	1.529	3/18/2021	12965		Pass	Pass
468786		1.641		1.64	1.518	3/18/2021	12965		Pass	Pass
468787		1.635		1.634	1.522	3/18/2021	12965		Pass	Pass
468788		1.641		1.64	1.529	3/18/2021	12965		Pass	Pass
468789		1.64		1.64	1.513	3/18/2021	12965		Pass	Pass
468790		1.641		1.64	1.529	3/18/2021	12965		Pass	Pass
468791		1.641		1.64	1.528	3/18/2021	12965		Pass	Pass
468792		1.631		1.63	1.519	3/18/2021	12965		Pass	Pass
468793		1.641		1.64	1.533	3/18/2021	12965		Pass	Pass
468794		1.639		1.638	1.524	3/18/2021	12965		Pass	Pass
468795		1.641		1.64	1.524	3/18/2021	12965		Pass	Pass
468796		1.641		1.64	1.51	3/18/2021	12965		Pass	Pass
468797		1.64		1.639	1.528	3/18/2021	12965		Pass	Pass
468798		1.641		1.639	1.532	3/18/2021	12965		Pass	Pass
468799		1.641		1.64	1.526	3/18/2021	12965		Pass	Pass
468800		1.641		1.639	1.52	3/18/2021	12965		Pass	Pass
468801		1.641		1.64	1.516	3/18/2021	12965		Pass	Pass
468802		1.637		1.636	1.528	3/18/2021	12965		Pass	Pass
468803		1.641		1.641	1.519	3/18/2021	12965		Pass	Pass
468804		1.638		1.638	1.531	3/18/2021	12965		Pass	Pass
468805		1.64		1.639	1.525	3/18/2021	12965		Pass	Pass
468806		1.641		1.641	1.526	3/18/2021	12965		Pass	Pass
468807		1.639		1.64	1.528	3/18/2021	12965		Pass	Pass
468808		1.64		1.641	1.529	3/18/2021	12965		Pass	Pass
468809		1.64		1.641	1.517	3/18/2021	12965		Pass	Pass
468810		1.639		1.639	1.515	3/18/2021	12965		Pass	Pass
468811		1.641		1.641	1.512	3/18/2021	12965		Pass	Pass
468812		1.638		1.639	1.529	3/18/2021	12965		Pass	Pass
468813		1.637		1.637	1.528	3/18/2021	12965		Pass	Pass
468814		1.637		1.638	1.514	3/18/2021	12965		Pass	Pass
468815		1.64		1.64	1.528	3/18/2021	12965		Pass	Pass
468816		1.64		1.641	1.53	3/18/2021	12965		Pass	Pass
468817		1.64		1.64	1.521	3/18/2021	12965		Pass	Pass
468818		1.64		1.641	1.531	3/18/2021	12965		Pass	Pass
468819		1.64		1.641	1.531	3/18/2021	12965		Pass	Pass
468820		1.64		1.64	1.533	3/18/2021	12965		Pass	Pass
468821		1.64		1.64	1.526	3/18/2021	12965		Pass	Pass
468822		1.64		1.639	1.524	3/18/2021	12965		Pass	Pass
468823		1.64		1.64	1.523	3/18/2021	12965		Pass	Pass
468824		1.64		1.639	1.533	3/18/2021	12965		Pass	Pass
468825		1.64		1.64	1.514	3/18/2021	12965		Pass	Pass
468826		1.641		1.641	1.527	3/18/2021	12965		Pass	Pass
468827		1.641		1.641	1.519	3/18/2021	12965		Pass	Pass
468828		1.641		1.641	1.515	3/18/2021	12965		Pass	Pass
