Barcode	Serial#	Pre-OCV	Pre-CCV	Post-OCV	Post-CCV	Date	Lot Number	Comments	Pre-screen pass	Post-screen pass
460315		1.5759999999999998		1.5719999999999998	1.5319999999999998	2020-01-08	10203	OK	Pass	Pass
460316		1.574		1.5719999999999998	1.53	2020-01-08	10203		Pass	Pass
460317		1.5730000000000002		1.5719999999999998	1.531	2020-01-08	10203		Pass	Pass
460318		1.574		1.5730000000000002	1.531	2020-01-08	10203		Pass	Pass
460319		1.5730000000000002		1.5719999999999998	1.53	2020-01-08	10203		Pass	Pass
460320		1.5730000000000002		1.5719999999999998	1.527	2020-01-08	10203		Pass	Pass
460321		1.568		1.568	1.524	2020-01-08	10203		Fail	Fail
460322		1.5730000000000002		1.5730000000000002	1.529	2020-01-08	10203		Pass	Pass
460323		1.575		1.575	1.5330000000000001	2020-01-08	10203		Pass	Pass
460324		1.574		1.574	1.531	2020-01-08	10203		Pass	Pass
460325		1.5730000000000002		1.574	1.5319999999999998	2020-01-08	10203		Pass	Pass
460326		1.5759999999999998		1.5759999999999998	1.535	2020-01-08	10203		Pass	Pass
460327		1.574		1.575	1.5319999999999998	2020-01-08	10203		Pass	Pass
460328		1.571		1.571	1.528	2020-01-08	10203		Pass	Pass
460329		1.574		1.574	1.5290000000000001	2020-01-08	10203		Pass	Pass
460330		1.565		1.565	1.521	2020-01-08	10203		Fail	Fail
460331		1.571		1.571	1.526	2020-01-08	10203		Pass	Pass
460332		1.5730000000000002		1.5730000000000002	1.531	2020-01-08	10203		Pass	Pass
460333		1.5730000000000002		1.574	1.531	2020-01-08	10203		Pass	Pass
460334		1.575		1.5759999999999998	1.531	2020-01-08	10203		Pass	Pass
460335		1.57		1.57	1.528	2020-01-08	10203		Pass	Pass
460336		1.5730000000000002		1.5730000000000002	1.529	2020-01-08	10203		Pass	Pass
460337		1.574		1.574	1.528	2020-01-08	10203		Pass	Pass
460338		1.574		1.574	1.527	2020-01-08	10203		Pass	Pass
460339		1.569		1.569	1.5190000000000001	2020-01-08	10203		Fail	Fail
460340		1.5730000000000002		1.575	1.5319999999999998	2020-01-08	10203		Pass	Pass
460341		1.569		1.57	1.528	2020-01-10	10203		Fail	Pass
460342		1.5719999999999998		1.5730000000000002	1.531	2020-01-10	10203		Pass	Pass
460343		1.554		1.554	1.5519999999999998	2020-01-10	10203		Fail	Fail
460344		1.5730000000000002		1.5730000000000002	1.528	2020-01-10	10203		Pass	Pass
460345		1.565		1.5659999999999998	1.518	2020-01-10	10203		Fail	Fail
460346		1.574		1.5730000000000002	1.53	2020-01-10	10203		Pass	Pass
460347		1.574		1.574	1.531	2020-01-10	10203		Pass	Pass
460348		1.5719999999999998		1.571	1.53	2020-01-10	10203		Pass	Pass
460349		1.57		1.569	1.567	2020-01-10	10203		Pass	Fail
460350		1.577		1.577	1.526	2020-01-10	10203		Pass	Pass
460351		1.5730000000000002		1.5730000000000002	1.5290000000000001	2020-01-10	10203		Pass	Pass
460352		1.57		1.57	1.528	2020-01-10	10203		Pass	Pass
460353		1.571		1.571	1.4969999999999999	2020-01-10	10203		Pass	Pass
460354		1.5719999999999998		1.5719999999999998	1.529	2020-01-10	10203		Pass	Pass
460355		1.561		1.561	1.514	2020-01-10	10203		Fail	Fail
460356		1.57		1.571	1.531	2020-01-10	10203		Pass	Pass
460357		1.567		1.568	1.525	2020-01-10	10203		Fail	Fail
460358		1.57		1.571	1.529	2020-01-10	10203		Pass	Pass
460359		1.57		1.57	1.5219999999999998	2020-01-10	10203		Pass	Pass
460360		1.574				2020-01-10	10203		Pass	
460361		1.574				2020-01-10	10203		Pass	
460362		1.571				2020-01-10	10203		Pass	
460363		1.575				2020-01-10	10203		Pass	
460364		1.571				2020-01-10	10203		Pass	
131321		1.767				2020-03-11	10203		Pass	
123456		1.804		1.804	1.769	2021-03-17	10203		Pass	Pass
