Barcode	Serial#	Pre-OCV	Pre-CCV	Post-OCV	Post-CCV	Date	Lot Number	Comments	Pre-screen pass	Post-screen pass
465403		3.677	3.522	3.677	2.381	12/15/2020	12779	OK	Pass	Pass
465404		3.675	3.324	3.675	2.869	12/15/2020	12779	OK	Pass	Pass
465405		3.68	3.48	3.68	2.277	12/15/2020	12779	OK	Pass	Pass
465406		3.675	3.436	3.68	2.239	12/15/2020	12779	OK	Pass	Pass
465407		3.678	3.527	3.678	2.435	12/15/2020	12779	OK	Pass	Pass
465408		3.678	3.533	3.678	2.55	12/15/2020	12779	OK	Pass	Pass
465409		3.677	3.503	3.677	2.423	12/15/2020	12779	OK	Pass	Pass
465410		3.68	3.372	3.636	2.843	12/15/2020	12779	OK	Pass	Pass
465411		3.68	3.466	3.679	2.194	12/15/2020	12779	OK	Pass	Pass
465412		3.68	3.524	3.68	2.312	12/15/2020	12779	OK	Pass	Pass
465413		3.68	3.529	3.679	2.071	12/15/2020	12779	OK	Pass	Pass
465414		3.677	3.49	3.676	2.235	12/15/2020	12779	OK	Pass	Pass
465415		3.681	3.492	3.681	2.203	12/15/2020	12779	OK	Pass	Pass
465416		3.68	3.517	3.68	2.2	12/15/2020	12779	OK	Pass	Pass
465417		3.677	3.523	3.677	2.544	12/15/2020	12779	OK	Pass	Pass
465418		3.681	3.453	3.681	3.197	12/15/2020	12779	OK	Pass	Pass
465419		3.678	3.542	3.678	2.585	12/15/2020	12779	OK	Pass	Pass
465420		3.681	3.494	3.681	2.195	12/15/2020	12779	OK	Pass	Pass
465421		3.68	3.396	3.68	2.297	12/15/2020	12779	OK	Pass	Pass
465422		3.674	3.517	3.674	2.444	12/15/2020	12779	OK	Pass	Pass
465423		3.677	3.533	3.676	2.529	12/15/2020	12779	OK	Pass	Pass
465424		3.677	3.546	3.677	2.608	12/15/2020	12779	OK	Pass	Pass
465425		3.677	3.471	3.677	2.46	12/15/2020	12779	OK	Pass	Pass
465426		3.679	3.468	3.679	2.123	12/15/2020	12779	OK	Pass	Pass
465427		3.679	3.532	3.678	2.493	12/15/2020	12779	OK	Pass	Pass
465428		3.676	3.572	3.676	2.362	12/15/2020	12779	OK	Pass	Pass
465429		3.68	3.529	3.68	2.513	12/15/2020	12779	OK	Pass	Pass
465430		3.676	3.524	3.676	2.466	12/15/2020	12779	OK	Pass	Pass
465431		3.681	3.454	3.681	2.752	12/15/2020	12779	OK	Pass	Pass
465432		3.68	3.359	3.68	2.635	12/15/2020	12779	OK	Pass	Pass
465433		3.678	3.489	3.678	2.143	12/15/2020	12779	OK	Pass	Pass
465434		3.678	3.532	3.678	2.549	12/15/2020	12779	OK	Pass	Pass
465435		3.679	3.55	3.678	2.469	12/15/2020	12779	OK	Pass	Pass
465436		3.68	3.566	3.68	2.504	12/15/2020	12779	OK	Pass	Pass
465437		3.676	3.581	3.679	2.517	12/15/2020	12779	OK	Pass	Pass
465438		3.679	3.524	3.679	2.567	12/15/2020	12779	OK	Pass	Pass
465439		3.681	3.375	3.682	2.18	12/15/2020	12779	OK	Pass	Pass
465440		3.678	3.393	3.679	2.773	12/15/2020	12779	OK	Pass	Pass
465441		3.677	3.493	3.678	2.518	12/15/2020	12779	OK	Pass	Pass
465442		3.678	3.543	3.678	2.258	12/15/2020	12779	OK	Pass	Pass
465443		3.675	3.316	3.675	2.726	12/15/2020	12779	OK	Pass	Pass
465444		3.678	3.536	3.678	2.376	12/15/2020	12779	OK	Pass	Pass
465445		3.678	3.523	3.678	2.398	12/15/2020	12779	OK	Pass	Pass
465446		3.675	3.526	3.676	2.779	12/15/2020	12779	OK	Pass	Pass
465447		3.678	3.528	3.679	2.302	12/15/2020	12779	OK	Pass	Pass
465448		3.675	3.33	3.675	2.762	12/15/2020	12779	OK	Pass	Pass
465449		3.677	3.568	3.677	2.708	12/15/2020	12779	OK	Pass	Pass
465450		3.681	3.463	3.682	2.771	12/15/2020	12779	OK	Pass	Pass
465451		3.676	3.519	3.677	2.699	12/15/2020	12779	OK	Pass	Pass
465452		3.671	3.164	3.671	2.651	12/15/2020	12779	OK	Pass	Pass
465453		3.678	3.473	3.679	2.265	12/15/2020	12779	OK	Pass	Pass
465454		3.679	3.511	3.68	2.677	12/15/2020	12779	OK	Pass	Pass
465455		3.676	3.544	3.676	2.688	12/15/2020	12779	OK	Pass	Pass
465456		3.677	3.489	3.677	2.333	12/15/2020	12779	OK	Pass	Pass
465457		3.676	3.501	3.677	2.342	12/15/2020	12779	OK	Pass	Pass
465458		3.678	3.479	3.679	2.311	12/15/2020	12779	OK	Pass	Pass
465459		3.678	3.503	3.678	2.264	12/15/2020	12779	OK	Pass	Pass
465460		3.677	3.554	3.678	2.668	12/15/2020	12779	OK	Pass	Pass
465461		3.679	3.49	3.679	2.97	12/15/2020	12779	OK	Pass	Pass
465462		3.667	3.57	3.679	2.463	12/15/2020	12779	OK	Pass	Pass
465463		3.679	3.577	3.679	2.56	12/15/2020	12779	OK	Pass	Pass
465464		3.679	3.576	3.679	2.453	12/15/2020	12779	OK	Pass	Pass
465465		3.682	3.542	3.682	2.169	12/15/2020	12779	OK	Pass	Pass
465466		3.669	3.469	3.677	2.029	12/15/2020	12779	OK	Pass	Pass
465467		3.68	3.459	3.68	2.8	12/15/2020	12779	OK	Pass	Pass
465468		3.677	3.535	3.677	2.411	12/15/2020	12779	OK	Pass	Pass
465469		3.679	3.506	3.68	2.135	12/15/2020	12779	OK	Pass	Pass
465470		3.68	3.493	3.67	2.87	12/15/2020	12779	OK	Pass	Pass
465471		3.679	3.464	3.678	2.247	12/15/2020	12779	OK	Pass	Pass
465472		3.678	3.53	3.678	2.322	12/15/2020	12779	OK	Pass	Pass
465473		3.676	3.535	3.676	2.57	12/15/2020	12779	OK	Pass	Pass
465474		3.676	3.527	3.676	2.645	12/15/2020	12779	OK	Pass	Pass
