Barcode	Serial#	Pre-OCV	Pre-CCV	Post-OCV	Post-CCV	Date	Lot Number	Comments	Pre-screen pass	Post-screen pass
471388	1	3.184	2.888			7/8/2021	12249		Pass	
471389	2	3.206	2.912			7/8/2021	12249		Pass	
471390	3	3.201	2.904			7/8/2021	12249		Pass	
471391	4	3.187	2.896			7/8/2021	12249		Pass	
471392	5	3.202	2.903			7/8/2021	12249		Pass	
471393	6	3.19	2.883			7/8/2021	12249		Pass	
471394	7	3.192	2.882			7/8/2021	12249		Pass	
471395	8	3.203	2.905			7/8/2021	12249		Pass	
471396	9	3.19	2.885			7/8/2021	12249		Pass	
471397	10	3.197	2.888			7/8/2021	12249		Pass	
471398	11	3.187	2.88			7/8/2021	12249		Pass	
471399	12	3.194	2.889			7/8/2021	12249		Pass	
471400	13	3.197	2.888			7/8/2021	12249		Pass	
471401	14	3.196	2.887			7/8/2021	12249		Pass	
471402	15	3.194	2.892			7/8/2021	12249		Pass	
471403	16	3.195	2.896			7/8/2021	12249		Pass	
471404	17	3.192	2.895			7/8/2021	12249		Pass	
471405	18	3.204	2.917			7/8/2021	12249		Pass	
471406	19	3.194	2.891			7/8/2021	12249		Pass	
471407	20	3.188	2.886			7/8/2021	12249		Pass	
471408	21	3.194	2.897			7/8/2021	12249		Pass	
471409	22	3.194	2.885			7/8/2021	12249		Pass	
471410	23	3.19	2.898			7/8/2021	12249		Pass	
471411	24	3.205	2.901			7/8/2021	12249		Pass	
471412	25	3.199	2.884			7/8/2021	12249		Pass	
471413	26	3.194	2.878			7/8/2021	12249		Pass	
471414	27	3.189	2.891			7/8/2021	12249		Pass	
471415	28	3.196	2.89			7/8/2021	12249		Pass	
471416	29	3.191	2.883			7/8/2021	12249		Pass	
471417	30	3.207	2.897			7/8/2021	12249		Pass	
471418	31	3.215	2.887			7/8/2021	12249		Pass	
471419	32	3.189	2.892			7/8/2021	12249		Pass	
471420	33	3.186	2.886			7/8/2021	12249		Pass	
471421	34	3.186	2.886			7/8/2021	12249		Pass	
471422	35	3.189	2.884			7/8/2021	12249		Pass	
471423	36	3.193	2.874			7/8/2021	12249		Pass	
471424	37	3.197	2.895			7/8/2021	12249		Pass	
471425	38	3.185	2.889			7/8/2021	12249		Pass	
471426	39	3.192	2.895			7/8/2021	12249		Pass	
471427	40	3.195	2.903			7/8/2021	12249		Pass	
471428	41	3.204	2.905			7/8/2021	12249		Pass	
471429	42	3.197	2.895			7/8/2021	12249		Pass	
471430	43	3.064	2.829			7/8/2021	12249		Pass	
471431	44	3.189	2.885			7/8/2021	12249		Pass	
471432	45	3.207	2.909			7/8/2021	12249		Pass	
471433	46	3.203	2.907			7/8/2021	12249		Pass	
471434	47	3.204	2.904			7/8/2021	12249		Pass	
471435	48	3.193	2.892			7/8/2021	12249		Pass	
471436	49	3.204	2.904			7/8/2021	12249		Pass	
471437	50	3.204	2.909			7/8/2021	12249		Pass	
471438	51	3.189	2.887			7/8/2021	12249		Pass	
471439	52	3.195	2.89			7/8/2021	12249		Pass	
471440	53	3.196	2.881			7/8/2021	12249		Pass	
471441	54	3.184	2.874			7/8/2021	12249		Pass	
471442	55	3.201	2.899			7/8/2021	12249		Pass	
471443	56	3.191	2.892			7/8/2021	12249		Pass	
471444	57	3.188	2.898			7/8/2021	12249		Pass	
471445	58	3.194	2.897			7/8/2021	12249		Pass	
471446	59	3.192	2.872			7/8/2021	12249		Pass	
471447	60	3.206	2.907			7/8/2021	12249		Pass	
471448	61	3.196	2.893			7/8/2021	12249		Pass	
471449	62	3.189	2.889			7/8/2021	12249		Pass	
471450	63	3.061	2.83			7/8/2021	12249		Pass	
471451	64	3.122	2.879			7/8/2021	12249		Pass	
471452	65	3.2	2.903			7/9/2021	12249		Pass	
471453	66	3.198	2.895			7/9/2021	12249		Pass	
471454	67	3.196	2.888			7/9/2021	12249		Pass	
