Barcode	Serial#	Pre-OCV	Pre-CCV	Post-OCV	Post-CCV	Date	Lot Number	Comments	Pre-screen pass	Post-screen pass
471045		3.193	2.884			5/19/2021	12249		Pass	
471046		3.21	2.917			5/19/2021	12249		Pass	
471047		3.193	2.861			5/19/2021	12249		Pass	
471048		3.203	2.896			5/19/2021	12249		Pass	
471049		3.2	2.871			5/19/2021	12249		Pass	
471050		3.197	2.892			5/19/2021	12249		Pass	
471051		3.209	2.898			5/19/2021	12249		Pass	
471052		3.182	2.871			5/19/2021	12249		Pass	
471053		3.208	2.87			5/19/2021	12249		Pass	
471054		3.197	2.886			5/19/2021	12249		Pass	
471055		3.205	2.878			5/19/2021	12249		Pass	
471056		3.207	2.864			5/19/2021	12249		Pass	
471057		3.197	2.883			5/19/2021	12249		Pass	
471058		3.199	2.895			5/19/2021	12249		Pass	
471059		3.199	2.865			5/19/2021	12249		Pass	
471060		3.194	2.885			5/19/2021	12249		Pass	
471061		3.208	2.875			5/19/2021	12249		Pass	
471062		3.2	2.898			5/19/2021	12249		Pass	
471063		3.183	2.883			5/20/2021	12249		Pass	
471064		3.193	2.897			5/20/2021	12249		Pass	
471065		3.192	2.902			5/20/2021	12249		Pass	
471066		3.2	2.909			5/20/2021	12249		Pass	
471067		3.203	2.928			5/20/2021	12249		Pass	
471068		3.181	2.887			5/20/2021	12249		Pass	
471069		3.203	2.933			5/20/2021	12249		Pass	
471070		3.184	2.895			5/20/2021	12249		Pass	
471071		3.181	2.896			5/20/2021	12249		Pass	
471072		3.21	2.889			5/20/2021	12249		Pass	
471073		3.201	2.919			5/20/2021	12249		Pass	
471074		3.2	2.917			5/20/2021	12249		Pass	
471075		3.211	2.915			5/20/2021	12249		Pass	
471076		3.201	2.928			5/20/2021	12249		Pass	
471077		3.179	2.879			5/20/2021	12249		Pass	
471078		3.194	2.906			5/20/2021	12249		Pass	
471079		3.191	2.908			5/20/2021	12249		Pass	
471080		3.194	2.904			5/20/2021	12249		Pass	
471081		3.204	2.914			5/20/2021	12249		Pass	
471082		3.188	2.902			5/20/2021	12249		Pass	
