Barcode	Serial#	Pre-OCV	Pre-CCV	Post-OCV	Post-CCV	Date	Lot Number	Comments	Pre-screen pass	Post-screen pass
460660		9.567	9.184			1/14/2020	8974		Pass	
460661		9.553	9.134			1/14/2020	8974		Pass	
460662		9.544	9.144			1/14/2020	8974		Pass	
460663		9.551	9.136			1/14/2020	8974		Pass	
460664		9.55	9.167			1/14/2020	8974		Pass	
460665		9.553	9.189			1/14/2020	8974		Pass	
460666		9.564	9.153			1/14/2020	8974		Pass	
460667		9.561	9.184			1/14/2020	8974		Pass	
460668		9.558	9.159			1/14/2020	8974		Pass	
460669		9.55	9.186			1/14/2020	8974		Pass	
460670		9.559	9.148			1/14/2020	8974		Pass	
460671		9.548	9.188			1/14/2020	8974		Pass	
460672		9.518	9.177				8974		Pass	
460673		9.549	9.188			1/14/2020	8974		Pass	
460674		9.556	9.14			2/28/2020	8974		Pass	
460675		9.381	9.072			2/28/2020	8974		Fail	
460676		9.562	9.178			3/2/2020	8974		Pass	
460677		9.558	9.165			3/2/2020	8974		Pass	
460678		9.555	9.142			3/2/2020	8974		Pass	
460679		9.553	9.147			3/2/2020	8974		Pass	
460680		9.555	9.174			3/2/2020	8974		Pass	
460681		9.561	9.174			3/2/2020	8974		Pass	
460682		9.554	9.137			3/2/2020	8974		Pass	
460683		9.569	9.191			3/2/2020	8974		Pass	
460684		9.572	9.169			3/2/2020	8974		Pass	
460687		9.557	9.17			3/2/2020	8974		Pass	
460685		9.514	9.136			3/2/2020	8974		Pass	
460686		9.441	9.103			3/2/2020	8974		Fail	
460688		9.551	9.13			3/2/2020	8974		Pass	
460689		9.551	9.165			3/2/2020	8974		Pass	
460690		9.56	9.135			3/2/2020	8974	460691	Pass	
460691		9.523	9.119			3/2/2020	8974		Pass	
460692		9.571	9.168			3/2/2020	8974		Pass	
460693		9.563	9.167			3/2/2020	8974		Pass	
460694		9.561	9.165			3/2/2020	8974		Pass	
460695		9.553	9.154			3/2/2020	8974		Pass	
460696		9.547	9.189			3/2/2020	8974		Pass	
460697		9.559	9.165			3/2/2020	8974		Pass	
460698		9.56	9.159			3/2/2020	8974		Pass	
460699		9.56	9.169			3/2/2020	8974		Pass	
460700		9.565	9.162			3/2/2020	8974		Pass	
460701		9.591	9.197			3/2/2020	8974		Pass	
460702		9.561	9.134			3/2/2020	8974		Pass	
460703		9.562	9.175			3/2/2020	8974		Pass	
460704		9.559	9.14			3/2/2020	8974		Pass	
460705		9.56	9.166			3/2/2020	8974		Pass	
460706		9.551	9.14			3/2/2020	8974		Pass	
460707		9.555	9.135			3/2/2020	8974	460708	Pass	
460708		9.551	9.184			3/2/2020	8974		Pass	
460709		9.558	9.149			3/2/2020	8974		Pass	
